x,y,Side,Balls,Strikes
-0.980607579154,3.42712953744,L,0,0
0.756170282111,3.42712953744,L,0,0
0.756170282111,1.6040366025,L,0,0
-0.980607579154,1.6040366025,L,0,0
-0.980607579154,3.42712953744,L,0,0
-0.930906469603,3.31789792817,L,0,1
0.765655630247,3.31789792817,L,0,1
0.765655630247,1.69040005003,L,0,1
-0.930906469603,1.69040005003,L,0,1
-0.930906469603,3.31789792817,L,0,1
-0.908245495247,3.17178091394,L,0,2
0.748670440441,3.17178091394,L,0,2
0.748670440441,1.72721093127,L,0,2
-0.908245495247,1.72721093127,L,0,2
-0.908245495247,3.17178091394,L,0,2
-0.995367423984,3.42284545412,L,1,0
0.840097812786,3.42284545412,L,1,0
0.840097812786,1.58858585859,L,1,0
-0.995367423984,1.58858585859,L,1,0
-0.995367423984,3.42284545412,L,1,0
-0.959167264303,3.38366220131,L,1,1
0.763999909758,3.38366220131,L,1,1
0.763999909758,1.65980987211,L,1,1
-0.959167264303,1.65980987211,L,1,1
-0.959167264303,3.38366220131,L,1,1
-0.865616737626,3.33587146645,L,1,2
0.789898989899,3.33587146645,L,1,2
0.789898989899,1.69259790734,L,1,2
-0.865616737626,1.69259790734,L,1,2
-0.865616737626,3.33587146645,L,1,2
-1.02143655154,3.41887270887,L,2,0
0.764487166914,3.41887270887,L,2,0
0.764487166914,1.53513923438,L,2,0
-1.02143655154,1.53513923438,L,2,0
-1.02143655154,3.41887270887,L,2,0
-0.974280596657,3.38399917256,L,2,1
0.733760510921,3.38399917256,L,2,1
0.733760510921,1.6098662912,L,2,1
-0.974280596657,1.6098662912,L,2,1
-0.974280596657,3.38399917256,L,2,1
-0.950097568556,3.29959194538,L,2,2
0.80995653917,3.29959194538,L,2,2
0.80995653917,1.642835424,L,2,2
-0.950097568556,1.642835424,L,2,2
-0.950097568556,3.29959194538,L,2,2
-1.04146831418,3.49546940155,L,3,0
0.827805183546,3.49546940155,L,3,0
0.827805183546,1.45206507882,L,3,0
-1.04146831418,1.45206507882,L,3,0
-1.04146831418,3.49546940155,L,3,0
-0.983874721456,3.43601109885,L,3,1
0.81080482398,3.43601109885,L,3,1
0.81080482398,1.58468000261,L,3,1
-0.983874721456,1.58468000261,L,3,1
-0.983874721456,3.43601109885,L,3,1
-0.994873724399,3.29405364394,L,3,2
0.77024085699,3.29405364394,L,3,2
0.77024085699,1.62036528221,L,3,2
-0.994873724399,1.62036528221,L,3,2
-0.994873724399,3.29405364394,L,3,2
-0.90434337916,3.41949494949,R,0,0
0.92970133582,3.41949494949,R,0,0
0.92970133582,1.62498862379,R,0,0
-0.90434337916,1.62498862379,R,0,0
-0.90434337916,3.41949494949,R,0,0
-0.879558193324,3.27166789916,R,0,1
0.894264302192,3.27166789916,R,0,1
0.894264302192,1.68499552473,R,0,1
-0.879558193324,1.68499552473,R,0,1
-0.879558193324,3.27166789916,R,0,1
-0.880146292218,3.29796967131,R,0,2
0.877481308269,3.29796967131,R,0,2
0.877481308269,1.78853341352,R,0,2
-0.880146292218,1.78853341352,R,0,2
-0.880146292218,3.29796967131,R,0,2
-0.950865935395,3.41758339174,R,1,0
0.955850215414,3.41758339174,R,1,0
0.955850215414,1.56319047985,R,1,0
-0.950865935395,1.56319047985,R,1,0
-0.950865935395,3.41758339174,R,1,0
-0.925858585859,3.33098948892,R,1,1
0.94295868035,3.33098948892,R,1,1
0.94295868035,1.61874480917,R,1,1
-0.925858585859,1.61874480917,R,1,1
-0.925858585859,3.33098948892,R,1,1
-0.927349422315,3.30575245804,R,1,2
0.886782724286,3.30575245804,R,1,2
0.886782724286,1.74540842456,R,1,2
-0.927349422315,1.74540842456,R,1,2
-0.927349422315,3.30575245804,R,1,2
-0.958120999693,3.40737373737,R,2,0
0.965508942447,3.40737373737,R,2,0
0.965508942447,1.5495317792,R,2,0
-0.958120999693,1.5495317792,R,2,0
-0.958120999693,3.40737373737,R,2,0
-0.868806427146,3.3317495476,R,2,1
0.949696969697,3.3317495476,R,2,1
0.949696969697,1.61208211041,R,2,1
-0.868806427146,1.61208211041,R,2,1
-0.868806427146,3.3317495476,R,2,1
-0.919405675405,3.26717171717,R,2,2
0.897908240876,3.26717171717,R,2,2
0.897908240876,1.64709704586,R,2,2
-0.919405675405,1.64709704586,R,2,2
-0.919405675405,3.26717171717,R,2,2
-0.877772066174,3.44812165374,R,3,0
0.948184230641,3.44812165374,R,3,0
0.948184230641,1.48935927926,R,3,0
-0.877772066174,1.48935927926,R,3,0
-0.877772066174,3.44812165374,R,3,0
-0.859393470985,3.42578759332,R,3,1
0.925019875516,3.42578759332,R,3,1
0.925019875516,1.57090726314,R,3,1
-0.859393470985,1.57090726314,R,3,1
-0.859393470985,3.42578759332,R,3,1
-0.90754478431,3.34374788924,R,3,2
0.901806903697,3.34374788924,R,3,2
0.901806903697,1.64409558629,R,3,2
-0.90754478431,1.64409558629,R,3,2
-0.90754478431,3.34374788924,R,3,2
